1,JLPT4,それ,それ,sore,"that, that one",Pronoun
2,JLPT4,見る,みる,miru,"see, look at",Verb
3,JLPT2,円,えん,en,circle,Noun
4,JLPT3,多い,おおい,ooi,lots of,Adjective
5,JLPT2,家,うち,uchi,"house, home",Noun
6,JLPT4,これ,これ,kore,"this, this one",Noun
7,JLPT4,新しい,あたらしい,atarashii,new,Adjective
8,JLPT2,私,わたし,otashi,I,Noun
9,JLPT4,仕事,しごと,shigoto,"work, job",Noun
10,JLPT3,始める,はじめる,hajimeru,"begin, start",Verb
11,JLPT4,なる,なる,naru,become,Verb
12,JLPT4,する,する,suru,"do, make",Verb
13,JLPT4,出る,でる,deru,"go out, leave",Verb
14,JLPT4,使う,つかう,tsukau,use,Verb
15,JLPT0,ところ,ところ,tokoro,place,Noun
16,JLPT3,思う,おもう,omou,think,Verb
17,JLPT4,持つ,もつ,motsu,"have, possess",Verb
18,JLPT4,時間,じかん,jikan,"time, hour",Noun
19,JLPT4,今年,ことし,kotoshi,this year,Noun
20,JLPT4,知る,しる,shiru,know,Verb
21,JLPT4,作る,つくる,tsukuru,"make, create",Verb
22,JLPT4,同じ,おなじ,onaji,"same, identical",Adjectival Noun
23,JLPT4,今,いま,ima,now,Adverb
24,JLPT3,続く,つづく,tsuzuku,"continue, follow",Verb
25,JLPT4,国,くに,kuni,country,Noun
26,JLPT2,未だ,まだ,mada,"yet, more",Adverb
27,JLPT4,やる,やる,yaru,do,Verb
28,JLPT4,言う,いう,iu,"say, tell",Verb
29,JLPT2,少ない,すくない,sukunai,"few, little",Adjective
30,JLPT4,行く,いく,iku,go,Verb
31,JLPT3,決める,きめる,kimeru,"decide, agree upon",Verb
32,JLPT4,高い,たかい,takai,"high, tall",Adjective
33,JLPT3,考える,かんがえる,kanbaeru,"think, consider",Verb
34,JLPT2,感じる,かんじる,kanjiru,"feel, sense",Verb
35,JLPT4,子供,こども,kodomo,"child, kid",Noun
36,JLPT4,そう,そう,sou,"in such manner, that way",Adverb
37,JLPT4,大学,だいがく,daigaku,"university, college",Noun
38,JLPT4,もう,もう,mou,"already, yet",Adverb
39,JLPT4,近く,ちかく,chikaku,"near, close to",Adverb
40,JLPT4,入れる,いれる,ireru,put in,Verb
41,JLPT4,学生,がくせい,gakusei,student,Noun
42,JLPT4,午後,ごご,gogo,"afternoon, p.m.",Noun
43,JLPT4,長い,ながい,nagai,long,Adjective
44,JLPT4,本,ほん,hon,"book, volume",Noun
45,JLPT4,よく,よく,yoku,often,Adverb
46,JLPT3,彼女,かのじょ,kanojo,"she, one's girlfriend",Pronoun
47,JLPT4,聞く,きく,kiku,"hear, ask",Verb
48,JLPT4,どう,どう,dou,"how, what",Adverb
49,JLPT3,生きる,いきる,ikiru,live (one's life),Verb
50,JLPT4,言葉,ことば,kotoba,"word, language",Noun
51,JLPT4,顔,かお,kao,face,Noun
52,JLPT4,どこ,どこ,doko,where,Noun
53,JLPT4,一つ,ひとつ,hitotsu,one (thing),Noun
54,JLPT3,あげる,あげる,ogeru,give,Verb
55,JLPT3,こう,こう,kou,"like this, this kind of",Adverb
56,JLPT4,学校,がっこう,gakkou,school,Noun
57,JLPT3,くれる,くれる,kureru,be given,Verb
58,JLPT4,起きる,おきる,okiru,"get up, get out of bed",Verb
59,JLPT4,春,はる,haru,spring,Noun
60,JLPT4,午前,ごぜん,gozen,"morning, a.m.",Noun
61,JLPT4,買う,かう,kau,buy,Verb
62,JLPT2,別,べつ,betsu,"another, different",Adjectival Noun
63,JLPT0,終わる,おわる,owaru,"finish, end",Verb
64,JLPT4,若い,わかい,wakai,young,Adjective
65,JLPT2,かなり,かなり,kanari,"fairly, rather",Adverb
66,JLPT4,置く,おく,oku,"put, leave",Verb
67,JLPT4,住む,すむ,sumu,"live, reside",Verb
68,JLPT3,戻る,もどる,modoru,"return, turn back",Verb
69,JLPT4,働く,はたらく,hataraku,work,Verb
70,JLPT4,後,あと,otoko,after,Adverb
71,JLPT4,先生,せんせい,sensei,teacher,Noun
72,JLPT4,立つ,たつ,tatsu,"stand, rise",Verb
73,JLPT3,気,き,ki,"spirit, temperament",Noun
74,JLPT4,呼ぶ,よぶ,yobu,"call, name",Verb
75,JLPT4,もっと,もっと,motto,more,Adverb
76,JLPT4,帰る,かえる,kaeru,"return, go back",Verb
77,JLPT3,気持ち,きもち,kimochi,"feeling, sensation",Noun
78,JLPT4,飛ぶ,とぶ,tobu,fly,Verb
79,JLPT4,車,くるま,kruma,"car, automobile",Noun
80,JLPT3,変える,かえる,kaeru,change,Verb
81,JLPT4,広い,ひろい,hiroi,"wide, big",Adjective
82,JLPT0,分かる,わかる,okaru,understand,Verb
83,JLPT2,数,かず,kazu,number,Noun
84,JLPT4,近い,ちかい,chikai,"near, soon",Adjective
85,JLPT4,そこ,そこ,soko,there,Pronoun
86,JLPT4,走る,はしる,hashiru,run,Verb
87,JLPT4,売る,うる,uru,sell,Verb
88,JLPT4,朝,あさ,asa,morning,Noun
89,JLPT4,教える,おしえる,oshieru,"teach, tell",Verb
90,JLPT4,歩く,あるく,oruku,"walk, go on foot",Verb
91,JLPT0,直ぐ,すぐ,sugu,"at once, soon",Adverb
92,JLPT4,会う,あう,au,meet,Verb
93,JLPT4,部屋,へや,heya,room,Noun
94,JLPT2,起こる,おこる,okoru,happen,Verb
95,JLPT4,秋,あき,aki,"autumn, fall",Noun
96,JLPT4,難しい,むずかしい,muzukashi,difficult,Adjective
97,JLPT3,送る,おくる,okuru,send,Verb
98,JLPT4,死ぬ,しぬ,shine,die,Verb
99,JLPT4,乗る,のる,noru,"ride, take",Verb
